NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS		217	0.20838451	1.0651599	0.30769232	0.5362357	0.996	5120	tags=34%, list=29%, signal=47%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		207	0.21008989	1.0646365	0.28443113	0.514181	0.996	5082	tags=35%, list=28%, signal=49%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		83	0.23863828	1.0565947	0.31421447	0.5194525	0.997	2763	tags=22%, list=15%, signal=26%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		108	0.22501652	1.0372185	0.35620052	0.5630227	1.0	2803	tags=19%, list=16%, signal=23%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		158	0.21036376	1.0305766	0.3652174	0.5632929	1.0	2590	tags=20%, list=15%, signal=23%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		106	0.22280228	1.0120614	0.4125683	0.60701555	1.0	3919	tags=31%, list=22%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		202	0.19730502	0.9903814	0.44859812	0.6597746	1.0	4763	tags=35%, list=27%, signal=47%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		111	0.21156858	0.97312075	0.5145349	0.699464	1.0	3407	tags=23%, list=19%, signal=29%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP		66	0.21422167	0.9200996	0.6240964	0.8691886	1.0	6963	tags=47%, list=39%, signal=77%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		210	0.17942543	0.9169102	0.73652697	0.85197455	1.0	3345	tags=22%, list=19%, signal=27%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		222	0.18097745	0.914307	0.71428573	0.83239365	1.0	4907	tags=30%, list=27%, signal=41%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		38	0.24695876	0.9099758	0.6226415	0.820439	1.0	2293	tags=16%, list=13%, signal=18%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		39	0.24822016	0.909398	0.6133652	0.7976411	1.0	4663	tags=38%, list=26%, signal=52%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		215	0.1787697	0.90186167	0.73652697	0.7956244	1.0	5620	tags=38%, list=31%, signal=55%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		218	0.17297326	0.88030183	0.82515335	0.831535	1.0	5851	tags=38%, list=33%, signal=56%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		56	0.20243967	0.83131564	0.7505995	0.9108755	1.0	5060	tags=38%, list=28%, signal=52%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		43	0.1837367	0.7249061	0.9354067	0.99456793	1.0	4219	tags=23%, list=24%, signal=30%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING		230	0.13477601	0.69274855	1.0	0.980606	1.0	5400	tags=30%, list=30%, signal=42%	
